Contig	11B-T1-3 Read Count	11B-T1-6 Read Count	11B-T1-9 Read Count	8-T1-3 Read Count	8-T1-6 Read Count	8-T1-9 Read Count	Ex45-T1-3 Read Count	Ex45-T1-6 Read Count	Ex45-T1-9 Read Count	HP-T1-3 Read Count	HP-T1-6 Read Count	HP-T1-9 Read Count	RC-T1-3 Read Count	RC-T1-6 Read Count	RC-T1-9 Read Count	RP-T1-3 Read Count	RP-T1-6 Read Count	RP-T1-9 Read Count	SC-T1-3 Read Count	SC-T1-6 Read Count	SC-T1-9 Read Count	UAB-T1-3 Read Count	UAB-T1-6 Read Count	UAB-T1-9 Read Count
RC-T1-9_k127_8007	0	1	5	0	0	2	6	2	16	0	0	0	0	6	888	0	0	0	0	0	0	3	1	1
RC-T1-9_k127_354979	1	2	5	0	5	0	0	3	0	0	0	0	17	5	1046	0	0	0	0	0	0	7	4	1
RC-T1-9_k127_675902	1	0	15	1	17	4	1	0	1	0	0	2	4	6	3916	0	0	0	2	8	0	2	1	1
RC-T1-9_k127_759463	0	0	0	0	1	0	0	0	0	0	0	0	522	341	795	1	0	0	0	0	0	0	0	0
RC-T1-9_k127_777842	0	1	0	0	0	0	0	2	1	0	1	0	0	0	1135	0	0	0	0	0	1	0	1	0
RC-T1-9_k127_372451	2	8	4	3	7	14	7	9	25	0	0	0	8	4	876	0	0	0	4	9	4	8	4	9
SC-T1-3_k127_612414	14	19	52	33	70	75	13	27	14	7	7	3	13	17	15	8	11	8	873	19	13	26	42	42
SC-T1-3_k127_740408	9	20	15	21	28	23	8	7	3	4	4	1	47	52	68	3	5	4	1747	11	5	13	27	10
SC-T1-6_k127_659841	0	2	9	8	6	40	6	10	3	0	0	0	0	0	0	0	0	0	3	966	7	2	4	3
SC-T1-6_k127_98400	0	2	0	1	2	42	12	11	0	1	0	0	0	0	0	0	0	0	5	1283	4	0	4	7
SC-T1-6_k127_944388	0	5	6	1	0	21	11	4	5	0	0	0	0	0	0	0	0	0	9	1810	6	2	4	3
